Protein.Accession.	GN	GN	Pr0B_0h1	ProB_0h2	Pr0B_1h1	Pr0B_1h2	Pr0B_4h1	Pr0B_4h2	Pr0B_16h1	Pr0B_16h2
sp|Q9DB42|ZN593_MOUSE	Znf593	Znf593	39956.81504	43141.60411	45056.06407	40405.77935	43942.87433	46932.40334	57712.30731	56494.5356
sp|Q791N7|RPA12_MOUSE	Znrd1	Znrd1	74096.2146	70054.3827	75107.99575	76543.22675	74929.41617	78386.81355	97803.61294	101884.9992
tr|E9Q5B2|E9Q5B2_MOUSE	0610011F06Rik	0610011F06Rik	49988.1176	47784.12465	53462.57517	56191.99418	53153.10609	61299.03534	64367.79375	65373.52272
tr|D3Z1F7|D3Z1F7_MOUSE	4833439L19Rik	4833439L19Rik	20313.04724	20373.60642	18954.15158	19876.74609	22994.3048	22633.43965	24467.86176	23250.07227
sp|Q9D2V5|AAR2_MOUSE	Aar2	Aar2	68335.08665	57528.59158	65378.49743	66755.18697	70268.12244	75064.5125	82176.81868	81851.48326
sp|Q8VCP8|KAD6_MOUSE	Ak6	Ak6	67961.22797	64737.16422	71418.5949	64213.21846	74244.38703	75261.34909	89082.39096	86373.1102
sp|Q8BTI7|ANR52_MOUSE	Ankrd52	Ankrd52	143538.417	146856.5156	149647.4728	161576.9189	162608.0134	167118.1927	191118.1939	198091.9434
sp|P14094|AT1B1_MOUSE	Atp1b1	Atp1b1	1217381.326	1180944.636	1231596.84	1232236.812	1690871.636	1769650.193	1957704.395	1897956.426
sp|Q6PB60|BHLH9_MOUSE	Bhlhb9	Bhlhb9	9613.614313	10272.38323	10093.12993	9723.476317	11592.79308	11578.26635	14115.06195	13251.90926
sp|Q6PHZ2|KCC2D_MOUSE	Camk2d	Camk2d	311669.6352	297157.6384	312715.057	315531.6611	342306.7486	354537.641	421784.4727	392356.0525
tr|F7A856|F7A856_MOUSE	Camk2d	Camk2d	53898.03328	51530.3964	55057.52853	55496.0308	58051.93799	61666.09627	70319.61396	65053.99293
sp|P25918|CD19_MOUSE	Cd19	Cd19	12369.79722	12130.88084	16866.66557	14511.45461	17138.34228	15752.27159	17884.00917	19160.57851
tr|E9Q1K1|E9Q1K1_MOUSE	Cfap97	Cfap97	88523.87599	89686.5006	86318.53386	88866.04428	100762.4395	113177.2074	117605.5924	111441.0152
sp|O88199|CHST3_MOUSE	Chst3	Chst3	193628.6286	200556.7532	198849.0191	211324.888	238669.4044	239425.4139	286496.1448	295300.5791
sp|P52194|CLGN_MOUSE	Clgn	Clgn	20546.99821	22081.60917	19209.43812	19102.21016	24971.15047	29412.85851	43889.39035	43760.22514
sp|Q9EQG9|C43BP_MOUSE	Col4a3bp	Col4a3bp	456953.3773	505431.642	470372.2095	479038.4258	553866.0985	554560.4943	620770.3862	628736.1197
sp|P97784|CRY1_MOUSE	Cry1	Cry1	105242.8889	110758.4743	108760.3716	109004.7955	116693.2794	118994.4516	148477.2696	127952.8973
sp|P09581|CSF1R_MOUSE	Csf1r	Csf1r	63425.63642	62130.47355	58327.14709	57569.18508	74880.60444	78713.19499	91515.15218	96994.6054
sp|Q3UH60|DIP2B_MOUSE	Dip2b	Dip2b	550837.8233	536369.8395	569210.5594	552732.4087	616768.6499	586875.7008	666352.8472	663222.2398
sp|Q99LN9|DOHH_MOUSE	Dohh	Dohh	26246.81146	24803.09251	25287.25962	26324.43926	30047.23672	28215.31665	31372.62029	33842.66125
sp|Q9CR25|DPH2_MOUSE	Dph2	Dph2	84528.17668	80275.46576	78511.97355	79561.97727	88568.47206	84842.2817	95909.96181	105898.5427
sp|Q91WV0|NC2B_MOUSE	Dr1	Dr1	144515.4718	139059.6926	136551.6944	141229.245	146899.7159	161454.9649	174520.9347	169095.1752
sp|Q9WUK2|IF4H_MOUSE	Eif4h	Eif4h	1248944.199	1223556.075	1283976.672	1241705.686	1436141.449	1402628.095	1631714.94	1544714.92
sp|Q9WUK2-2|IF4H_MOUSE	Eif4h	Eif4h	1252816.693	1169058.805	1279844.479	1227712.759	1436175.345	1410861.051	1707676.846	1589628.805
sp|Q03145|EPHA2_MOUSE	Epha2	Epha2	348198.6611	368785.0381	360283.3436	367962.268	432331.0624	433973.541	577816.9581	588139.7034
sp|Q9D4V0|EKI1_MOUSE	Etnk1	Etnk1	80768.14696	80206.94375	79012.25632	82581.3384	101044.2773	110503.2342	125310.6172	132721.6057
sp|P11370|ENV2_MOUSE	Fv4	Fv4	42451.08243	43141.86308	41838.46583	38339.80981	45652.05679	45459.8146	50456.10814	51945.03356
sp|Q8CFB4|GBP5_MOUSE	Gbp5	Gbp5	36280.99521	34661.38638	42073.27086	40349.19863	48422.96468	52522.432	65325.38673	69361.35394
sp|P01895|HA1Y_MOUSE	H2-D1	H2-D1	719962.1214	718556.3932	669808.1988	689866.1418	759094.6668	785455.6054	906222.0317	915652.5392
sp|Q01237|HMDH_MOUSE	Hmgcr	Hmgcr	15381.12844	17206.51317	16697.31721	17045.88247	30613.45108	29213.52564	40070.28304	38952.04819
sp|O35368|IFI3_MOUSE	Ifi203	Ifi203	198859.8337	182414.7456	192049.1456	180988.2998	220341.5675	234522.4796	307693.9539	308476.9443
sp|Q9ESY9|GILT_MOUSE	Ifi30	Ifi30	413884.6219	440856.9231	405700.9907	478856.9317	478854.5419	596937.2509	647927.4165	714055.8432
sp|P34902|IL2RG_MOUSE	Il2rg	Il2rg	50310.16602	52597.54235	46287.68115	50183.88009	54690.68077	55460.29462	67032.55575	65745.36233
sp|Q8R0S2|IQEC1_MOUSE	Iqsec1	Iqsec1	276537.0255	284097.7854	286239.6256	273740.3592	331713.4512	313839.1462	401438.7533	397300.6009
sp|Q5DU25|IQEC2_MOUSE	Iqsec2	Iqsec2	148616.9468	157526.2257	159226.5897	154433.0094	172054.7051	173372.8324	186602.9903	188504.3604
sp|Q64287|IRF4_MOUSE	Irf4	Irf4	508697.2678	483802.1483	498358.3239	471273.2666	549637.1638	550375.0482	608096.6095	602044.3365
sp|P05532|KIT_MOUSE	Kit	Kit	146390.9924	149179.5506	154603.0869	135556.1836	229547.956	248780.2444	306144.7251	306037.5027
sp|P02468|LAMC1_MOUSE	Lamc1	Lamc1	34292.33543	29977.37506	34048.13557	34660.69806	45219.02766	43214.68216	55023.92637	47014.53538
sp|P35951|LDLR_MOUSE	Ldlr	Ldlr	11315.92485	10300.50243	11096.53199	9800.971466	25539.73561	23619.03072	40999.16792	36971.0142
sp|Q8R502|LRC8C_MOUSE	Lrrc8c	Lrrc8c	142499.3408	144995.8929	138930.6349	143497.9976	175003.785	173602.3498	182920.2284	187124.9299
sp|Q9CQ33|LZTR1_MOUSE	Lztr1	Lztr1	15493.63127	14895.54428	15022.61432	13739.05266	17117.40767	15604.32845	17126.49609	18132.59051
sp|Q9CQI9|MED30_MOUSE	Med30	Med30	33901.37175	31808.87747	32400.01768	32329.92096	35762.5882	35774.82303	40147.4156	39206.5694
sp|Q91YR5|MET13_MOUSE	Mettl13	Mettl13	347480.6101	333135.1871	337754.7141	323602.2246	353833.8901	371850.8128	429978.3219	418891.4988
sp|Q8VDV8|MITD1_MOUSE	Mitd1	Mitd1	86336.1255	90669.68171	91287.42692	91800.6202	101977.8492	108718.1352	115227.2777	115954.4876
sp|P01108|MYC_MOUSE	Myc	Myc	27788.70262	21720.36204	37991.12227	36009.59342	44156.35207	41934.01476	45921.94826	46139.60235
sp|O09043|NAPSA_MOUSE	Napsa	Napsa	100580.7367	106167.8974	100812.3576	96047.55377	115823.6852	116501.5578	122704.6937	123842.764
sp|Q8VEJ4|NLE1_MOUSE	Nle1	Nle1	208718.3502	212663.7085	219449.435	204130.4757	248393.8227	245508.7759	291038.5329	280805.5705
sp|Q60715-2|P4HA1_MOUSE	P4ha1	P4ha1	68968.90255	66814.08884	66991.25366	64739.65873	86014.6822	86921.57105	96876.73481	95448.7696
sp|Q60715|P4HA1_MOUSE	P4ha1	P4ha1	72997.13947	66343.02984	67479.4788	65236.67899	88174.35153	88237.21464	97037.3297	96655.02713
sp|Q9JK83|PAR6B_MOUSE	Pard6b	Pard6b	13087.1994	13345.69493	13296.08731	13255.87791	14085.23262	15466.38306	17592.69508	16655.00966
sp|Q80X73|PELO_MOUSE	Pelo	Pelo	172726.9268	173838.7692	163265.0747	167008.3558	176361.4527	188995.2749	192447.9463	211575.9941
sp|Q8BJ56|PLPL2_MOUSE	Pnpla2	Pnpla2	45264.2679	43667.46708	38334.49197	43746.49253	49472.46383	53994.87209	52255.84876	61281.47492
sp|Q91WD1|RPC4_MOUSE	Polr3d	Polr3d	198437.0239	189155.0817	186044.2375	191029.7886	205015.6717	205082.0317	236517.7759	225514.4637
sp|Q8C2E4|PTCD1_MOUSE	Ptcd1	Ptcd1	12823.66205	13582.7611	12659.09246	12484.5063	14062.46544	15103.66447	15494.26845	15423.97727
sp|Q922Q4|P5CR2_MOUSE	Pycr2	Pycr2	634431.1446	610406.716	616065.0471	612985.2909	667607.9088	658030.8651	765467.6592	751233.0244
sp|Q9WVB0|RBPMS_MOUSE	Rbpms	Rbpms	248829.7537	241201.7268	261636.4357	229798.985	284962.774	288462.6928	323185.6397	302622.9866
sp|P58283|RN216_MOUSE	Rnf216	Rnf216	78189.2739	78678.72073	74952.06573	78041.62403	92177.85591	82346.96396	103458.935	105087.5774
tr|A0A087WPL0|A0A087WPL0_MOUSE	Runx1	Runx1	46725.30692	41573.16946	46085.83213	49948.67994	52560.18051	52637.17346	56951.9599	60428.86397
sp|P18828|SDC1_MOUSE	Sdc1	Sdc1	19964.08125	22051.7636	18604.28519	17683.56487	27449.39193	23304.31586	41053.04917	41080.47549
sp|O35988|SDC4_MOUSE	Sdc4	Sdc4	26543.87616	29791.08712	26938.2638	27881.11158	33969.3775	39968.63909	47881.91658	50459.60876
sp|O09126|SEM4D_MOUSE	Sema4d	Sema4d	146242.9589	139358.5594	147284.6372	146795.4819	166658.6127	168919.9699	195522.718	193784.1837
sp|Q9QUR8|SEM7A_MOUSE	Sema7a	Sema7a	22203.73686	19533.31663	20240.29532	18566.27471	26229.72206	23370.86692	37389.62678	35678.33623
sp|Q8BHJ6|SERC5_MOUSE	Serinc5	Serinc5	103532.6355	102601.7932	104987.3979	108781.3726	111939.5773	125764.772	124308.006	132417.4337
sp|Q8VD57|SFT2B_MOUSE	Sft2d2	Sft2d2	227895.6229	218474.9293	220973.8828	172163.2092	259165.5172	280447.2732	323884.4704	298392.6388
sp|Q9QXK9|SH22A_MOUSE	Sh2d2a	Sh2d2a	19160.64465	17069.71488	13726.38743	16528.85754	17224.49291	19706.69223	21489.91461	23962.33604
sp|Q9Z131|3BP5_MOUSE	Sh3bp5	Sh3bp5	24401.78103	23834.5218	23926.97992	25409.79578	26474.72283	27192.0191	29674.38582	29637.37084
sp|P51912|AAAT_MOUSE	Slc1a5	Slc1a5	766315.1806	821446.8693	736138.1578	738648.931	813034.406	884351.8734	960615.9116	1090504.808
sp|Q8BTY2|S4A7_MOUSE	Slc4a7	Slc4a7	131058.6972	126836.0106	126496.7628	132467.341	151545.4152	142662.2938	186067.2873	176874.3156
sp|Q8BTY2-2|S4A7_MOUSE	Slc4a7	Slc4a7	104640.1653	96214.23783	102583.1655	100337.2015	121345.3072	109725.9747	146574.9237	135250.9854
sp|Q8K078|SO4A1_MOUSE	Slco4a1	Slco4a1	45255.39723	44197.00045	48003.98353	50818.75778	51092.08072	53510.04902	57625.4891	68215.02543
sp|Q3TYX3|SMYD5_MOUSE	Smyd5	Smyd5	105705.27	104620.9486	98529.89505	99064.78865	109876.4036	108825.8415	126903.6791	117826.4369
sp|O35717|SOCS2_MOUSE	Socs2	Socs2	48692.04356	41752.09502	47398.94705	46259.26778	66230.84847	68557.70619	87307.12958	86656.67853
sp|P52019|ERG1_MOUSE	Sqle	Sqle	10034.93075	9018.897568	10641.34788	9936.901094	16387.8226	13843.08116	26771.35276	30402.63717
sp|P42227|STAT3_MOUSE	Stat3	Stat3	329404.7584	316061.1269	327193.5607	324088.3645	361166.5034	360924.6794	405164.1442	414470.8977
sp|Q8R3L2|TCF25_MOUSE	Tcf25	Tcf25	72303.85207	74812.66845	76797.29096	77967.86829	82465.97821	86825.21695	96181.7623	96501.72428
sp|P56581|TDG_MOUSE	Tdg	Tdg	25929.15013	30270.21056	27468.79779	27730.92674	30216.25953	32725.1009	34287.8012	38330.75567
sp|P47226|TES_MOUSE	Tes	Tes	426014.7333	431137.232	404969.0618	446364.235	462151.9901	470345.4883	517328.4687	523636.1123
sp|Q9DA39|LFG4_MOUSE	Tmbim4	Tmbim4	499770.8636	500881.5412	520260.6437	474351.4067	532122.8868	567302.5054	651089.05	663331.0071
sp|Q7TN60|TMC6_MOUSE	Tmc6	Tmc6	49959.72343	47209.9096	44445.94589	46594.94249	54898.52586	50028.38535	58493.7856	54105.41278
sp|P02340|P53_MOUSE	Tp53	Tp53	24959.41759	26281.42206	26967.81098	24072.65572	27678.9123	30649.09979	33089.31166	31414.47545
sp|Q62393|TPD52_MOUSE	Tpd52	Tpd52	38766.45921	38379.5863	38609.99722	40869.24836	42836.53244	51171.20796	66055.60304	61127.37567
sp|Q8C006|TRI35_MOUSE	Trim35	Trim35	34250.79442	31992.49704	34622.05864	33766.56654	41735.28088	35596.37822	43408.16391	44520.82757
sp|Q9D8C2|TSN13_MOUSE	Tspan13	Tspan13	252954.5528	234689.4916	247600.0293	240579.7353	288269.4047	303181.1621	335996.0926	341694.1731
sp|Q9DBA6|TYSD1_MOUSE	Tysnd1	Tysnd1	25520.03823	21460.94167	25560.59891	24590.1131	28793.46954	28675.31075	32227.13125	32347.35255
sp|Q9CWR1|WDR73_MOUSE	Wdr73	Wdr73	94449.8667	90015.76432	90786.92832	87355.16702	100226.2066	99133.30027	113057.8758	109169.7948
sp|Q8BYL4|SYYM_MOUSE	Yars2	Yars2	613313.2527	575891.4789	622504.5342	583493.8482	629181.1573	661546.1738	736756.7053	713572.9444
tr|B2RPU8|B2RPU8_MOUSE	Zbed5	Zbed5	101545.8511	91839.49382	95696.91854	101928.3671	108716.2385	116024.0533	120799.5303	131063.601
sp|Q8R1J3|ZCHC9_MOUSE	Zcchc9	Zcchc9	49272.02279	53141.46758	52965.28484	50427.85466	54078.47357	56715.48945	60696.94483	64384.32981
sp|Q8BZ47|ZN609_MOUSE	Znf609	Znf609	42029.72248	43499.55645	44974.40485	44804.44198	48465.71417	47759.19437	54645.31683	54953.76895
tr|D3YZ60|D3YZ60_MOUSE	2810428I15Rik	2810428I15Rik	53387.56763	54050.67558	57046.87903	51356.71201	68628.64785	72846.64353	73761.41595	71197.59064
sp|Q9QXM0|ABHD2_MOUSE	Abhd2	Abhd2	16443.03317	16673.84317	17485.16912	17580.99961	21793.70274	23664.71324	24262.34911	24451.77608
sp|Q66JY6|ARG39_MOUSE	Arhgef39	Arhgef39	25458.2018	22433.06349	23982.73678	21388.77742	28956.01825	31765.82042	28351.01567	28525.64129
sp|A2AQH4|BCORL_MOUSE	Bcorl1	Bcorl1	23636.61481	22646.69136	23535.19082	22282.19967	29077.19374	29619.01904	28356.46848	29039.30107
sp|Q9JJ66|CDC20_MOUSE	Cdc20	Cdc20	30132.81949	32947.46826	31616.57063	33419.25264	41849.58077	38670.50301	38184.60105	40732.12185
sp|Q810P3|CDKN3_MOUSE	Cdkn3	Cdkn3	15391.83427	15057.83453	17181.31572	16382.64023	23838.09255	22201.62108	18563.83282	24038.84567
tr|E9Q8V6|E9Q8V6_MOUSE	Dennd4a	Dennd4a	28896.00566	29790.3807	29890.50436	29192.25565	35554.69081	35557.1423	36849.70195	35582.21818
sp|Q6NS52|DGKB_MOUSE	Dgkb	Dgkb	285893.2475	327896.2916	309213.6903	285267.983	373750.2892	365509.9995	342136.0027	348199.2959
sp|P27577|ETS1_MOUSE	Ets1	Ets1	141202.7206	145944.4729	144505.2648	141810.1863	230447.9471	245527.8156	206974.6882	191327.0378
sp|Q8C180|FRS2_MOUSE	Frs2	Frs2	15730.94948	15841.77312	14516.27417	16456.20499	18486.89136	22453.08732	19829.83812	22134.80035
sp|Q8C0L9|GPCP1_MOUSE	Gpcpd1	Gpcpd1	215750.0069	219207.4249	209574.3152	221073.6893	267102.0105	281346.4765	251942.3089	267871.8882
sp|Q6V595|KLHL6_MOUSE	Klhl6	Klhl6	152531.0998	152579.5809	145318.821	161999.0705	184427.1514	193753.3582	184149.6666	185323.1623
sp|Q8VC85|LSM1_MOUSE	Lsm1	Lsm1	34671.89743	32567.99715	29643.82494	28685.8938	37449.16601	43568.44825	34815.3455	34932.82652
sp|P97287|MCL1_MOUSE	Mcl1	Mcl1	228140.1673	221719.2074	240028.9542	237835.2764	273753.9773	268503.3253	281355.6443	273607.9529
sp|Q8R3J4|MTEF3_MOUSE	Mterf3	Mterf3	47346.7238	51397.65756	48732.47754	52148.70006	54917.27309	63995.73813	60578.42294	64497.52277
tr|A2AFK4|A2AFK4_MOUSE	Mtg2	Mtg2	18815.90029	17774.55092	19978.05579	19879.61477	21174.1687	23780.9014	23615.65811	21473.87573
sp|Q9CR56|KBRS2_MOUSE	Nkiras2	Nkiras2	46173.49411	48427.65081	48183.38435	45159.52152	55703.40354	58738.53527	57692.46557	51239.58001
sp|Q9D0K1|PEX13_MOUSE	Pex13	Pex13	27919.09913	30575.923	30865.06373	32152.15039	33959.49371	37031.44409	34374.43881	37305.9144
sp|Q9JIY0|PKHO1_MOUSE	Plekho1	Plekho1	33603.55624	31394.25638	31388.12412	29277.64861	39218.58626	39447.75398	38404.897	34885.14597
sp|Q9Z0S9|PRAF1_MOUSE	Rabac1	Rabac1	639901.5343	652228.456	689632.5001	665889.4281	815436.6359	827267.5344	817332.3432	805258.0263
sp|Q8BHT7|RGP1_MOUSE	Rgp1	Rgp1	273723.1975	262110.5031	237942.5469	220517.1369	322789.4856	349256.8631	313026.5149	305417.874
sp|Q8QZX0|SBK1_MOUSE	Sbk1	Sbk1	70384.78469	79296.43135	73419.77181	75588.16207	87788.16998	95993.37227	85296.1415	88351.23495
sp|Q3UKC1|TAXB1_MOUSE	Tax1bp1	Tax1bp1	708169.6991	740483.2469	717438.3302	720034.5756	956583.1943	844112.8201	913061.4419	921160.8875
sp|Q62351|TFR1_MOUSE	Tfrc	Tfrc	4935807.915	5113775.977	4929266.085	5161778.987	6391774.409	6444229.038	6588137.066	6802362.599
sp|Q62313|TGON1_MOUSE	Tgoln1	Tgoln1	29997.70375	34796.98119	32212.21037	31318.94468	46851.29224	50292.4763	47678.03806	54566.95958
sp|P50592|TNF10_MOUSE	Tnfsf10	Tnfsf10	134623.3671	152422.7337	130682.2669	130496.5744	223820.3534	243634.141	259166.8734	257752.1346
sp|Q5SRX1|TM1L2_MOUSE	Tom1l2	Tom1l2	20820.40945	19209.47194	22193.11536	20348.4735	25183.90232	23752.47534	23147.24463	22973.11565
sp|Q9JLV2|TP4AP_MOUSE	Trpc4ap	Trpc4ap	42065.55213	41892.52087	43610.75057	41921.21992	55769.90875	58194.21284	50443.58673	51639.92626
sp|Q9EP52|TWSG1_MOUSE	Twsg1	Twsg1	67756.79715	57791.57869	62159.4531	65546.52153	90669.89351	85723.84436	85674.54949	94317.58774
sp|Q8BIY3|ZC12D_MOUSE	Zc3h12d	Zc3h12d	58850.34042	60375.84018	59531.91984	60094.12522	82153.5957	86713.36016	79588.99012	83196.61093
sp|Q3U108|ARI5A_MOUSE	Arid5a	Arid5a	253601.2533	231731.3888	273241.7819	265065.9812	296091.8531	299963.6483	257760.1048	245469.5506
sp|P30306|MPIP2_MOUSE	Cdc25b	Cdc25b	31206.55951	34735.76812	36120.92655	35567.12497	42048.59019	43276.57544	36379.14157	35104.99982
sp|Q8K4Q7|CERK1_MOUSE	Cerk	Cerk	84588.03982	89527.58564	85658.32583	92442.56498	110750.0013	113660.3746	87239.10326	87992.76403
tr|D3YYD8|D3YYD8_MOUSE	D230025D16Rik	D230025D16Rik	442312.6384	422627.2775	492073.4869	478999.9999	527722.6975	635063.932	482223.676	481295.0366
sp|Q9D1Q4|DPM3_MOUSE	Dpm3	Dpm3	144832.6004	142330.3062	161846.5672	142124.3485	201280.0137	226692.3986	180212.2017	162146.9015
sp|Q8BFY7|FA64A_MOUSE	Fam64a	Fam64a	32046.85165	29887.07108	32618.28207	35584.40789	38021.79362	42615.44539	35916.89912	36184.87657
sp|Q80U16|FA65B_MOUSE	Fam65b	Fam65b	342097.9872	350271.2179	343227.523	344854.4099	442211.8653	423899.4386	323239.8067	332266.429
sp|Q60634|FLOT2_MOUSE	Flot2	Flot2	100309.6912	101870.8738	102532.5745	101370.3028	118227.9701	128236.8005	109726.6075	98927.14078
tr|D3Z3H0|D3Z3H0_MOUSE	Ino80e	Ino80e	35413.17365	33371.65881	36944.00543	40700.27918	42358.51553	41399.29071	38748.71104	40631.89893
sp|Q3U3D7|T131L_MOUSE	Kiaa0922	Kiaa0922	97192.18067	102160.8353	101358.9915	106087.4844	154709.0997	160643.1479	122585.6398	122483.4611
sp|P97432|NBR1_MOUSE	Nbr1	Nbr1	24699.7834	22656.84913	26538.80593	24773.04398	31378.90221	33760.4808	29657.98331	26127.27857
sp|Q9JKL4|NDUF3_MOUSE	Ndufaf3	Ndufaf3	44080.57706	42775.62103	45261.96504	45823.7282	51798.08603	56453.49736	48405.5473	46186.5633
sp|Q8R3Q2|PP6R2_MOUSE	Ppp6r2	Ppp6r2	19749.91153	19014.78571	19858.06444	18876.33945	22968.59263	25115.95636	19320.38925	19203.44892
sp|Q99KR6|RNF34_MOUSE	Rnf34	Rnf34	17980.79501	19684.30793	22380.19832	22948.68521	23063.09371	25810.40412	22435.87562	21344.12899
sp|Q3ZT31|SNX25_MOUSE	Snx25	Snx25	91034.81317	91193.07228	83830.21738	86922.50552	102547.7114	111515.0923	91662.01308	94311.04448
sp|P54751|SIA4A_MOUSE	St3gal1	St3gal1	13337.54899	12416.34621	14743.97909	13802.23403	14654.26389	17404.17937	12107.32131	12123.53052
sp|Q64685|SIAT1_MOUSE	St6gal1	St6gal1	64507.37992	58909.41353	62730.76039	62333.23984	77132.29301	83233.96248	67287.61941	64940.20372
sp|Q80V24|VGLL4_MOUSE	Vgll4	Vgll4	45367.78204	35372.08352	49952.76513	51385.13971	91158.609	137003.9858	80942.84681	59415.89445
sp|Q9D5R2|WDR20_MOUSE	Wdr20	Wdr20	20736.17646	19620.14305	23751.94933	26991.34109	32037.27032	34374.49742	25733.47913	24681.18444
tr|Q3UWE6|Q3UWE6_MOUSE	Wdr20	Wdr20	33536.13502	30880.29769	35067.74252	36311.93247	39611.02848	39020.60051	36448.09646	38021.14003
sp|Q9WUK6|ZBT18_MOUSE	Zbtb18	Zbtb18	63043.16435	62043.85034	67190.15789	68191.03255	72439.43483	77617.51801	63602.70087	57328.23531
sp|Q69ZB8-2|ZCHC2_MOUSE	Zcchc2	Zcchc2	26903.52291	27334.90233	30528.14757	29197.19754	33338.19742	33002.3059	30892.12235	32245.59388
tr|Q9JIC0|Q9JIC0_MOUSE	Zfp119a	Zfp119a	30380.15921	29139.38382	33588.74822	33489.00217	36642.89427	40737.74859	34508.43603	33464.17576
sp|P61211|ARL1_MOUSE	Arl1	Arl1	52562.77745	48388.12713	65575.72625	61053.45251	61859.67486	57187.12113	50852.06501	52666.73997
sp|Q3UHI0|CCSE2_MOUSE	Ccser2	Ccser2	14741.24894	15191.56563	17979.95052	18614.1419	17065.37883	17790.07324	17021.01134	15477.98676
sp|P22646|CD3E_MOUSE	Cd3e	Cd3e	76500.51555	82270.00724	68723.69804	72668.71324	63187.01355	59767.47359	58519.39971	63754.95627
sp|O89033|CDC6_MOUSE	Cdc6	Cdc6	46137.83893	46897.63596	47439.41405	47020.88036	30772.02638	36369.22467	50287.64248	45816.48722
sp|Q8BX07|CTDS2_MOUSE	Ctdsp2	Ctdsp2	18064.68503	16152.91331	17029.24449	15772.44129	18495.07474	18879.02816	14571.1233	14873.51929
sp|Q9ET22|DPP2_MOUSE	Dpp7	Dpp7	176634.5734	173246.477	149009.2432	141006.7959	129399.9684	139849.2945	133144.2389	113460.7288
sp|Q3TLR7|DTL_MOUSE	Dtl	Dtl	172310.9859	169604.0835	168116.36	168226.3811	134649.91	136394.6149	132711.2235	141543.5978
sp|P06802|ENPP1_MOUSE	Enpp1	Enpp1	34603.76318	33526.11121	33385.55654	30276.58085	28195.85537	27727.124	33139.03036	30643.66002
sp|Q6PH08|ERC2_MOUSE	Erc2	Erc2	20306.08127	20693.04451	18415.5567	20022.40661	22067.95633	22669.7283	17068.74457	19166.01709
sp|Q62406|IRAK1_MOUSE	Irak1	Irak1	38070.90329	40262.29222	37344.42437	35700.6084	41373.5646	42222.69073	31071.40438	35718.67392
sp|Q8BGY4|KLH26_MOUSE	Klhl26	Klhl26	22072.63919	21141.06009	19476.11724	16226.63465	23702.0736	24284.47859	21925.81759	21252.24413
sp|P11679|K2C8_MOUSE	Krt8	Krt8	1496841.892	2046665.71	2414527.158	1825206.315	2628152.408	3021260.435	1529352.913	1176801.263
tr|Q8R3F0|Q8R3F0_MOUSE	Larp1b	Larp1b	11332.36771	12565.56986	11613.0267	13282.99936	9698.586871	9835.399919	15690.27002	13416.77713
sp|Q923Z3|MTO1_MOUSE	Mto1	Mto1	18546.6402	18585.33278	17132.26444	16388.97196	14697.27651	14089.23071	15690.26121	17813.07668
sp|Q641K5|NUAK1_MOUSE	Nuak1	Nuak1	24517.91539	25620.44689	27072.36849	25385.53615	34830.17111	35695.32928	21683.77242	20278.7249
sp|O35386|PAHX_MOUSE	Phyh	Phyh	44631.75356	49228.36588	58285.74238	48831.8065	39323.64979	41994.2741	53729.49061	54989.4448
sp|P11157|RIR2_MOUSE	Rrm2	Rrm2	2000131.343	2042977.961	2058479.357	2018137.009	1694519.431	1596312.748	1633343.853	1676217.082
sp|E9Q401|RYR2_MOUSE	Ryr2	Ryr2	21524.71254	17519.55548	23515.4143	25056.12666	22467.15752	23337.2976	17910.11351	17796.71221
sp|Q91XL3|UXS1_MOUSE	Uxs1	Uxs1	55354.79452	55090.60133	50336.45339	50246.30127	61216.74518	65612.16973	51076.81694	49355.67099
tr|Q9Z117|Q9Z117_MOUSE	Zfp53	Zfp53	30761.73724	34453.22184	24955.98626	26648.06744	31020.52838	33819.2412	32112.7236	30190.50021
tr|G3X9T1|G3X9T1_MOUSE	Zfp715	Zfp715	25306.78733	25267.46132	28552.03689	30872.03919	26535.76757	29530.23158	24669.19931	23797.01387
sp|Q3U288|ZN710_MOUSE	Znf710	Znf710	22368.89515	20567.74417	25248.34039	28255.82143	22028.61956	22653.31808	20338.86878	21596.52421
